,sido,si,gu,os_nm,new_adr,api_adr,poll_div_cd,self_yn,wash_yn,repair_yn,conv_yn,all24_yn,oil_price
31,서울특별시,서울,강남구,(주)소모에너지엔테크놀러지 쎈트럴주유소,서울 강남구 삼성로 335,서울 강남구 삼성로 335,GS칼텍스,N,Y,N,N,N,1883.0
32,서울특별시,서울,강남구,(주)만정에너지,서울 강남구 봉은사로 433 (삼성동),서울 강남구 봉은사로 433 ,GS칼텍스,N,Y,N,N,N,1913.0
33,서울특별시,서울,강남구,뉴서울(강남),서울 강남구 언주로 716 (논현동),서울 강남구 언주로 716 ,SK에너지,N,Y,N,N,N,2025.0
34,서울특별시,서울,도봉구,삼미북부셀프주유소,서울 도봉구 도봉로 437 (쌍문동),서울 도봉구 도봉로 437 ,SK에너지,Y,Y,N,N,N,1259.0
35,서울특별시,서울,도봉구,한이에너지(주)KLP제1주유소,서울 도봉구 도봉로 596 (창동),서울 도봉구 도봉로 596 ,현대오일뱅크,N,Y,N,N,N,1260.0
36,서울특별시,서울,도봉구,정다운셀프주유소, 서울특별시 도봉구 도봉로 635 (쌍문동), 서울특별시 도봉구 도봉로 635 ,SK에너지,Y,Y,N,N,N,1279.0
37,서울특별시,서울,도봉구,극동유화(주)대안주유소,서울 도봉구 마들로 574 (창동),서울 도봉구 마들로 574 ,S-OIL,Y,Y,N,N,N,1279.0
38,서울특별시,서울,도봉구,동일석유(주) 창동주유소,서울 도봉구  도봉로 434 (창동),서울 도봉구  도봉로 434 ,SK에너지,Y,Y,N,N,N,1297.0
39,서울특별시,서울,도봉구,쌍문주유소,서울 도봉구 도봉로 547 (쌍문동),서울 도봉구 도봉로 547 ,S-OIL,Y,Y,N,N,N,1298.0
40,서울특별시,서울,도봉구,서현주유소,서울 도봉구 방학로 142 (방학동),서울 도봉구 방학로 142 ,S-OIL,Y,Y,N,N,N,1319.0
41,서울특별시,서울,도봉구,노원교주유소,서울 도봉구 마들로 776 (도봉동),서울 도봉구 마들로 776 ,현대오일뱅크,Y,Y,N,N,N,1323.0
42,서울특별시,서울,도봉구,대성산업(주)신창주유소,서울 도봉구 덕릉로 267 (창동),서울 도봉구 덕릉로 267 ,GS칼텍스,N,Y,N,N,N,1325.0
43,서울특별시,서울,도봉구,구도일주유소 도봉,서울 도봉구 도봉로 706 (방학동),서울 도봉구 도봉로 706 ,S-OIL,Y,Y,N,N,N,1329.0
44,서울특별시,서울,도봉구,지에스칼텍스㈜ 방학동주유소,서울 도봉구 방학로 186,서울 도봉구 방학로 186,GS칼텍스,Y,Y,N,N,N,1329.0
45,서울특별시,서울,도봉구,현대오일뱅크㈜직영 도봉현대셀프주유소,서울 도봉구 도봉로 941 (도봉동),서울 도봉구 도봉로 941 ,현대오일뱅크,Y,Y,N,N,N,1329.0
46,서울특별시,서울,도봉구,지에스칼텍스㈜ 도봉주유소,서울 도봉구 도봉로 895 (도봉동),서울 도봉구 도봉로 895 ,GS칼텍스,Y,Y,N,N,N,1330.0
47,서울특별시,서울,도봉구,(주)쌍문셀프주유소,서울 도봉구 노해로 161 (쌍문동),서울 도봉구 노해로 161 ,현대오일뱅크,Y,Y,N,N,N,1365.0
48,서울특별시,서울,도봉구,오복주유소,서울 도봉구 방학로 43,서울 도봉구 방학로 43,S-OIL,Y,Y,N,N,N,1369.0
49,서울특별시,서울,도봉구,현대오일뱅크㈜직영 영신주유소,서울 도봉구 방학로 151,서울 도봉구 방학로 151,현대오일뱅크,N,Y,N,N,N,1379.0
50,경기도,경기,안산시,안산슈퍼맨주유소,경기 안산시 상록구 서해로 2691 (사사동),경기 안산시 상록구 서해로 2691 ,알뜰주유소,Y,Y,N,N,N,1268.0
51,경기도,경기,안산시,소망주유소,경기 안산시 상록구 석호로 202 (사동),경기 안산시 상록구 석호로 202 ,S-OIL,N,Y,N,N,N,1275.0
52,경기도,경기,안산시,다복주유소,경기 안산시 단원구 시흥대로 128 (선부동),경기 안산시 단원구 시흥대로 128 ,자가상표,N,Y,N,N,N,1283.0
53,경기도,경기,안산시,㈜소모에너지 안산하이웨이주유소,경기 안산시 상록구 안산천서로 263,경기 안산시 상록구 안산천서로 263,GS칼텍스,Y,Y,N,N,N,1285.0
54,경기도,경기,안산시,준오토조이(주) 성우주유소,경기 안산시 상록구  안산천서로 277 (월피동),경기 안산시 상록구  안산천서로 277 ,SK에너지,Y,Y,N,N,N,1285.0
55,경기도,경기,안산시,(주)지티이엔알직영 서해주유소,경기 안산시 단원구 시흥대로 10 (선부동),경기 안산시 단원구 시흥대로 10 ,알뜰주유소,N,Y,N,N,N,1289.0
56,경기도,경기,안산시,수암주유소,경기 안산시 상록구 원당골1길 23-14 (수암동),경기 안산시 상록구 원당골1길 23-14 ,SK에너지,Y,Y,N,N,N,1294.0
57,경기도,경기,안산시,행복주유소,경기 안산시 상록구 수인로 1820 (부곡동),경기 안산시 상록구 수인로 1820 ,GS칼텍스,Y,Y,N,N,N,1295.0
58,경기도,경기,안산시,드림주유소,경기 안산시 상록구 수인로 1917 (장상동),경기 안산시 상록구 수인로 1917 ,SK에너지,N,Y,N,N,N,1295.0
59,경기도,경기,안산시,(주)칠오 와동주유소,경기 안산시 단원구 순환로 375 (와동),경기 안산시 단원구 순환로 375 ,S-OIL,Y,Y,N,N,N,1295.0
60,경기도,경기,안산시,신양주유소,경기 안산시 상록구 월피로 84,경기 안산시 상록구 월피로 84,SK에너지,N,Y,N,N,N,1298.0
61,경기도,경기,안산시,해안주유소,경기 안산시 상록구 선진6길 8,경기 안산시 상록구 선진6길 8,SK에너지,N,Y,N,N,N,1315.0
62,경기도,경기,안산시,㈜엠오티이엔지 상일주유소,경기 안산시 상록구 서해로 2838 (사사동),경기 안산시 상록구 서해로 2838 ,알뜰주유소,N,Y,N,N,N,1319.0
63,경기도,경기,안산시,씨앤에스유통㈜구도일주유소 신반월,경기 안산시 상록구 건건1길 7 (건건동),경기 안산시 상록구 건건1길 7 ,S-OIL,Y,Y,N,N,N,1324.0
64,경기도,경기,안산시,현대오일뱅크㈜직영 안산공원셀프주유소,경기 안산시 단원구  광덕1로 268 (고잔동),경기 안산시 단원구  광덕1로 268 ,현대오일뱅크,Y,Y,N,N,N,1325.0
